,geoFIPS,NAME
546,g15001,Hawaii
547,g15003,Honolulu
548,g15005,Kalawao
549,g15007,Kauai
550,g15009,Maui
551,g16075,Payette
552,g16081,Teton
553,g16025,Camas
554,g16087,Washington
555,g16001,Ada
556,g16003,Adams
557,g16005,Bannock
558,g16007,Bear Lake
559,g16009,Benewah
560,g16011,Bingham
561,g16013,Blaine
562,g16015,Boise
563,g16021,Boundary
564,g16023,Butte
565,g16029,Caribou
566,g16035,Clearwater
567,g16037,Custer
568,g16039,Elmore
569,g16041,Franklin
570,g16043,Fremont
571,g16049,Idaho
572,g16059,Lemhi
573,g16061,Lewis
574,g16063,Lincoln
575,g16069,Nez Perce
576,g16073,Owyhee
577,g16077,Power
578,g16079,Shoshone
579,g16083,Twin Falls
580,g16085,Valley
581,g16017,Bonner
582,g16019,Bonneville
583,g16027,Canyon
584,g16031,Cassia
585,g16033,Clark
586,g16045,Gem
587,g16047,Gooding
588,g16051,Jefferson
589,g16053,Jerome
590,g16055,Kootenai
591,g16057,Latah
592,g16065,Madison
593,g16067,Minidoka
594,g16071,Oneida
595,g17051,Fayette
596,g17053,Ford
597,g17055,Franklin
598,g17057,Fulton
599,g17061,Greene
600,g17063,Grundy
601,g17003,Alexander
602,g17005,Bond
603,g17017,Cass
604,g17023,Clark
605,g17027,Clinton
606,g17031,Cook
607,g17043,DuPage
608,g17059,Gallatin
609,g17079,Jasper
610,g17097,Lake
611,g17101,Lawrence
612,g17123,Marshall
613,g17125,Mason
614,g17129,Menard
615,g17147,Piatt
616,g17153,Pulaski
617,g17161,Rock Island
618,g17165,Saline
619,g17181,Union
620,g17185,Wabash
621,g17189,Washington
622,g17197,Will
623,g17001,Adams
624,g17007,Boone
625,g17009,Brown
626,g17011,Bureau
627,g17013,Calhoun
628,g17015,Carroll
629,g17019,Champaign
630,g17021,Christian
631,g17025,Clay
632,g17029,Coles
633,g17033,Crawford
634,g17035,Cumberland
635,g17037,DeKalb
636,g17039,De Witt
637,g17041,Douglas
638,g17045,Edgar
639,g17047,Edwards
640,g17049,Effingham
641,g17103,Lee
642,g17105,Livingston
643,g17107,Logan
644,g17109,McDonough
645,g17111,McHenry
646,g17113,McLean
647,g17115,Macon
648,g17065,Hamilton
649,g17067,Hancock
650,g17069,Hardin
651,g17071,Henderson
652,g17073,Henry
653,g17075,Iroquois
654,g17077,Jackson
655,g17081,Jefferson
656,g17083,Jersey
657,g17085,Jo Daviess
658,g17087,Johnson
659,g17089,Kane
660,g17091,Kankakee
661,g17093,Kendall
662,g17095,Knox
663,g17099,LaSalle
664,g17163,St. Clair
665,g17167,Sangamon
666,g17169,Schuyler
667,g17171,Scott
668,g17173,Shelby
669,g17117,Macoupin
670,g17119,Madison
671,g17121,Marion
672,g17127,Massac
673,g17131,Mercer
674,g17133,Monroe
675,g17135,Montgomery
676,g17137,Morgan
677,g17139,Moultrie
678,g17141,Ogle
679,g17143,Peoria
680,g17145,Perry
681,g17149,Pike
682,g17151,Pope
683,g17155,Putnam
684,g17157,Randolph
685,g17159,Richland
686,g17175,Stark
687,g17177,Stephenson
688,g17179,Tazewell
689,g17183,Vermilion
690,g17187,Warren
691,g17191,Wayne
692,g17193,White
693,g17195,Whiteside
694,g17199,Williamson
695,g17201,Winnebago
696,g17203,Woodford
697,g18025,Crawford
698,g18029,Dearborn
699,g18031,Decatur
700,g18035,Delaware
701,g18037,Dubois
702,g18039,Elkhart
703,g18041,Fayette
704,g18043,Floyd
705,g18045,Fountain
706,g18047,Franklin
707,g18053,Grant
708,g18055,Greene
709,g18057,Hamilton
710,g18059,Hancock
711,g18063,Hendricks
712,g18065,Henry
713,g18069,Huntington
714,g18073,Jasper
715,g18075,Jay
716,g18077,Jefferson
717,g18079,Jennings
718,g18081,Johnson
719,g18085,Kosciusko
720,g18087,LaGrange
721,g18001,Adams
722,g18007,Benton
723,g18017,Cass
724,g18027,Daviess
725,g18033,DeKalb
726,g18049,Fulton
727,g18051,Gibson
728,g18061,Harrison
729,g18067,Howard
730,g18071,Jackson
731,g18083,Knox
732,g18093,Lawrence
733,g18107,Montgomery
734,g18123,Perry
735,g18125,Pike
736,g18131,Pulaski
737,g18145,Shelby
738,g18147,Spencer
739,g18161,Union
740,g18175,Washington
741,g18179,Wells
742,g18181,White
743,g18003,Allen
744,g18005,Bartholomew
745,g18009,Blackford
746,g18011,Boone
747,g18013,Brown
748,g18015,Carroll
749,g18019,Clark
750,g18021,Clay
751,g18023,Clinton
752,g18105,Monroe
753,g18109,Morgan
754,g18111,Newton
755,g18113,Noble
756,g18115,Ohio
757,g18117,Orange
758,g18119,Owen
759,g18121,Parke
760,g18127,Porter
761,g18149,Starke
762,g18151,Steuben
763,g18153,Sullivan
764,g18155,Switzerland
765,g18157,Tippecanoe
766,g18159,Tipton
767,g18163,Vanderburgh
768,g18129,Posey
769,g18133,Putnam
770,g18135,Randolph
771,g18137,Ripley
772,g18139,Rush
773,g18141,St. Joseph
774,g18143,Scott
775,g18089,Lake
776,g18091,LaPorte
777,g18095,Madison
778,g18097,Marion
779,g18099,Marshall
780,g18101,Martin
781,g18103,Miami
782,g18165,Vermillion
783,g18167,Vigo
784,g18169,Wabash
785,g18171,Warren
786,g18173,Warrick
787,g18177,Wayne
788,g18183,Whitley
789,g19185,Wayne
790,g19187,Webster
791,g19189,Winnebago
792,g19191,Winneshiek
793,g19193,Woodbury
794,g19195,Worth
795,g19197,Wright
796,g19003,Adams
797,g19005,Allamakee
798,g19007,Appanoose
799,g19039,Clarke
800,g19041,Clay
801,g19043,Clayton
802,g19047,Crawford
803,g19049,Dallas
804,g19051,Davis
805,g19053,Decatur
806,g19057,Des Moines
807,g19059,Dickinson
808,g19061,Dubuque
809,g19063,Emmet
810,g19065,Fayette
811,g19069,Franklin
812,g19071,Fremont
813,g19073,Greene
814,g19075,Grundy
815,g19011,Benton
816,g19013,Black Hawk
817,g19015,Boone
818,g19017,Bremer
819,g19019,Buchanan
820,g19023,Butler
821,g19025,Calhoun
822,g19027,Carroll
823,g19029,Cass
824,g19031,Cedar
825,g19035,Cherokee
826,g19037,Chickasaw
827,g19001,Adair
828,g19009,Audubon
829,g19021,Buena Vista
830,g19033,Cerro Gordo
831,g19045,Clinton
832,g19055,Delaware
833,g19067,Floyd
834,g19081,Hancock
835,g19099,Jasper
836,g19111,Lee
837,g19117,Lucas
838,g19131,Mitchell
839,g19141,O'Brien
840,g19157,Poweshiek
841,g19163,Scott
842,g19175,Union
843,g19121,Madison
844,g19123,Mahaska
845,g19125,Marion
846,g19127,Marshall
847,g19129,Mills
848,g19133,Monona
849,g19135,Monroe
850,g19137,Montgomery
851,g19139,Muscatine
852,g19143,Osceola
853,g19145,Page
854,g19147,Palo Alto
855,g19149,Plymouth
856,g19151,Pocahontas
857,g19153,Polk
