Geo_FIPS,fema_region_sovi_rank,us_sovi_rank
g13265,61.0,14.0
g13267,264.0,143.0
g13269,383.0,366.0
g13271,7.0,311.0
g13273,210.0,77.0
g13275,528.0,383.0
g13277,736.0,558.0
g13279,268.0,244.0
g13281,147.0,65.0
g13283,439.0,706.0
g13285,509.0,503.0
g13287,353.0,251.0
g13289,402.0,400.0
g13291,251.0,93.0
g13293,476.0,176.0
g13295,288.0,494.0
g13297,101.0,231.0
g13299,319.0,414.0
g13301,280.0,122.0
g13303,351.0,537.0
g13305,592.0,262.0
g13307,531.0,427.0
g13309,29.0,27.0
g13311,522.0,362.0
g13313,460.0,732.0
g13315,62.0,390.0
g13317,205.0,97.0
g13319,573.0,453.0
g13321,534.0,583.0
g15001,,
g15003,,
g15005,,
g15007,,
g15009,,
g16001,24.0,11.0
g16003,99.0,74.0
g16005,91.0,50.0
g16007,51.0,119.0
g16009,87.0,97.0
g16011,105.0,87.0
g16013,10.0,31.0
g16015,6.0,6.0
g16017,88.0,68.0
g16019,64.0,41.0
g16021,93.0,63.0
g16023,114.0,67.0
g16025,13.0,10.0
g16027,80.0,117.0
g16029,9.0,8.0
g16031,110.0,61.0
g16033,102.0,44.0
g16035,84.0,95.0
g16037,12.0,30.0
g16039,61.0,48.0
g16041,3.0,3.0
g16043,5.0,53.0
g16045,48.0,80.0
g16047,109.0,91.0
g16049,72.0,55.0
g16051,11.0,4.0
g16053,82.0,88.0
g16055,95.0,52.0
g16057,69.0,12.0
g16059,111.0,86.0
g16061,53.0,28.0
g16063,92.0,75.0
g16065,54.0,23.0
g16067,104.0,99.0
g16069,83.0,103.0
g16071,19.0,19.0
g16073,62.0,107.0
g16075,57.0,92.0
g16077,74.0,38.0
g16079,56.0,58.0
g16081,2.0,1.0
g16083,101.0,108.0
g16085,8.0,112.0
g16087,25.0,51.0
g17001,354.0,359.0
g17003,11.0,39.0
g17005,455.0,439.0
g17007,523.0,64.0
g17009,3.0,4.0
g17011,228.0,431.0
g17013,327.0,481.0
g17015,179.0,199.0
g17017,80.0,329.0
g17019,348.0,138.0
g17021,504.0,459.0
g17023,482.0,426.0
g17025,381.0,469.0
g17027,76.0,110.0
g17029,374.0,336.0
g17031,4.0,260.0
g17033,299.0,243.0
g17035,427.0,307.0
g17037,195.0,141.0
g17039,267.0,277.0
g17041,214.0,400.0
g17043,253.0,25.0
g17045,155.0,280.0
g17047,440.0,311.0
g17049,217.0,204.0
g17051,364.0,365.0
g17053,316.0,386.0
g17055,140.0,184.0
g17057,475.0,489.0
